year,treatment,replicate,station,core,section,depth,soil_dwt,cum_soil_dw,c_prct,n_prct,gavel_free_Bd,Comments,Outliers
#,,,,,,cm,kg_m2,kg_m2,%,%,g/cm3,,
2001,DF,2,5,1,D,90,537.4467907,1139.593828,0.228733333,0.0157,1.378068694,soils re-processed and analyzed in July 2019,
2001,DF,3,1,1,S,14,138.266117,138.266117,1.8484,0.145766667,0.987615121,soils re-processed and analyzed in July 2019,
2001,DF,3,1,1,M,51,535.8680008,674.1341177,0.237433333,0.024,1.448291894,soils re-processed and analyzed in July 2019,
2001,DF,3,1,1,D,100,639.7810839,1313.915202,0.0876,0.007,1.305675681,soils re-processed and analyzed in July 2019,
2001,DF,3,2,1,S,14,157.8718175,157.8718175,1.8969,0.154566667,1.127655839,soils re-processed and analyzed in July 2019,
2001,DF,3,2,1,M,47,448.3978713,606.2696887,0.300033333,0.029,1.358781428,soils re-processed and analyzed in July 2019,
2001,DF,3,2,1,D,100,743.4932302,1349.762919,0.0683,0.007,1.402817415,soils re-processed and analyzed in July 2019,
2001,DF,3,3,1,S,22,239.6818415,239.6818415,1.596366667,0.1346,1.089462916,soils re-processed and analyzed in July 2019,
2001,DF,3,3,1,M,58,530.5810638,770.2629053,0.142533333,0.014,1.473836288,soils re-processed and analyzed in July 2019,
2001,DF,3,3,1,D,100,546.144488,1316.407393,0.118666667,0.01,1.300344019,soils re-processed and analyzed in July 2019,
2001,DF,3,4,1,S,17,184.6825411,184.6825411,2.047666667,0.1668,1.086367889,soils re-processed and analyzed in July 2019,
2001,DF,3,4,1,M,85,946.7552584,1131.437799,0.240166667,,1.392287145,soils re-processed and analyzed in July 2019,%N = 0.033
2001,DF,3,4,1,D,100,214.0767392,1345.514539,0.076266667,0.01,1.427178262,soils re-processed and analyzed in July 2019,
2001,DF,3,5,1,S,21,244.6765588,244.6765588,1.595966667,0.123633333,1.16512647,soils re-processed and analyzed in July 2019,
2001,DF,3,5,1,M,91,1021.302849,1265.979407,0.243566667,,1.45900407,soils re-processed and analyzed in July 2019,%N=0.027
2001,DF,3,5,1,D,100,90.85361986,1356.833027,0.126733333,0.024,,soils re-processed and analyzed in July 2019,Bulk density outlier=1.0095
2001,SF,1,1,1,S,24,288.3384251,288.3384251,1.0271,0.1085,1.201410104,soils re-processed and analyzed in July 2019,
2001,SF,1,1,1,M,60,594.8860392,883.2244642,0.0802,0.0349,1.65246122,soils re-processed and analyzed in July 2019,
2001,SF,1,1,1,D,83,339.0893452,1222.313809,0.030766667,0.011266667,1.474301501,soils re-processed and analyzed in July 2019,
2001,SF,1,2,1,S,29,360.5321831,360.5321831,0.7434,0.087966667,1.243214425,soils re-processed and analyzed in July 2019,
2001,SF,1,2,1,M,67,599.6511142,960.1832974,0.16476,0.033605,1.578029248,,
2001,SF,1,2,1,D,92,381.9463157,1342.129613,0.060412,0.021385,1.527785263,,
2001,SF,1,3,1,S,23,265.3167972,265.3167972,0.447966667,0.070166667,1.153551292,soils re-processed and analyzed in July 2019,
2001,SF,1,3,1,M,57,560.726766,826.0435632,0.0926,0.019466667,1.64919637,soils re-processed and analyzed in July 2019,
2001,SF,1,3,1,D,90,453.3690502,1279.412613,0.0497,0.010833333,1.373845607,soils re-processed and analyzed in July 2019,
2001,SF,1,4,1,S,25,265.8047869,265.8047869,0.5743,0.080666667,1.063219147,soils re-processed and analyzed in July 2019,
2001,SF,1,4,1,M,68,706.5495457,972.3543325,0.203204,0.0325663,1.643138478,,
2001,SF,1,4,1,D,100,489.5910842,1461.945417,0.10984,0.021996,1.529972138,,
2001,SF,1,5,1,S,18,225.2442381,225.2442381,0.783633333,0.0964,1.251356878,soils re-processed and analyzed in July 2019,
2001,SF,1,5,1,M,63,739.6467238,964.8909619,0.041233333,0.033066667,1.643659386,soils re-processed and analyzed in July 2019,
2001,SF,1,5,1,D,94,437.8641848,1402.755147,0.065233333,0.012666667,1.412465112,soils re-processed and analyzed in July 2019,
2001,SF,2,1,1,S,20,233.3666817,233.3666817,0.764066667,0.087566667,1.166833409,soils re-processed and analyzed in July 2019,
2001,SF,2,1,1,M,38,255.8021479,489.1688297,0.208696,0.0350103,1.421123044,,
2001,SF,2,1,1,D,96,852.1828706,1341.3517,0.032952,0.0151528,1.469280811,,
2001,SF,2,2,1,S,20,196.6784741,196.6784741,0.841233333,0.093333333,0.983392371,soils re-processed and analyzed in July 2019,
2001,SF,2,2,1,M,47,380.2515565,576.9300306,0.142792,0.0275561,1.408339098,,
2001,SF,2,2,1,D,100,748.2697874,1325.199818,0.060412,0.0087984,1.411829788,,
2001,SF,2,3,1,S,21,230.8980284,230.8980284,1.003333333,,1.099514421,soils re-processed and analyzed in July 2019,%N= 0.109
2001,SF,2,3,1,M,55,315.3655865,546.2636149,0.142792,0.0282282,1.433479939,,
2001,SF,2,3,1,D,100,620.129455,1166.39307,,,1.378065456,No data,
2001,SF,2,4,1,S,19,225.0708583,225.0708583,0.700266667,0.057633333,1.184583464,soils re-processed and analyzed in July 2019,
2001,SF,2,4,1,M,28,124.9325183,350.0033766,0.170252,0.0277394,1.388139092,,
2001,SF,2,4,1,D,93,910.7703299,1260.773706,,,1.401185123,No data,
2001,SF,2,5,1,S,19,231.7591865,231.7591865,0.696933333,0.056566667,1.219785192,soils re-processed and analyzed in July 2019,
2001,SF,2,5,1,M,44,371.2093959,602.9685825,0.197712,0.0129532,1.484837584,,
2001,SF,2,5,1,D,95,637.6109654,1240.579548,0.098856,0.0202852,1.250217579,,
2001,SF,3,1,1,S,19,223.4691041,223.4691041,1.232933333,0.101533333,1.176153179,soils re-processed and analyzed in July 2019,
2001,SF,3,1,1,M,32,164.9447964,388.4139005,0.150933333,0.020833333,1.268806126,soils re-processed and analyzed in July 2019,
2001,SF,3,1,1,D,85,674.9163364,1063.330237,,0.002333333,1.27342705,soils re-processed and analyzed in July 2019,%C= 1.133
2001,SF,3,2,1,S,49,625.0552796,625.0552796,,,1.27562302,soils re-processed and analyzed in July 2019,"%C= 0.696, %N=0.056"
2001,SF,3,2,1,M,82,519.6730606,1144.72834,0.225172,0.026273,1.57476685,,
2001,SF,3,2,1,D,95,167.8468993,1312.57524,0.093364,0.0130143,1.291129995,,
2001,SF,3,3,1,S,18,190.2972922,190.2972922,1.252966667,0.1086,1.057207179,soils re-processed and analyzed in July 2019,
2001,SF,3,3,1,M,35,213.3820717,403.6793639,0.319866667,0.047533333,1.255188657,soils re-processed and analyzed in July 2019,
2001,SF,3,3,1,D,94,773.3180074,1176.997371,0.1336,0.025533333,1.310708487,soils re-processed and analyzed in July 2019,
2001,SF,3,4,1,S,18,220.0876231,220.0876231,1.085766667,0.1083,1.222709017,soils re-processed and analyzed in July 2019,
2001,SF,3,4,1,M,72,788.1586328,1008.246256,0.21968,0.0227903,1.459553024,,
2001,SF,3,4,1,D,100,407.464154,1415.71041,,,1.455229121,No data,
2001,SF,3,5,1,S,16,229.0034805,229.0034805,0.705433333,0.077366667,1.431271753,soils re-processed and analyzed in July 2019,
2001,SF,3,5,1,M,69,853.3253404,1082.328821,0.064,0.029,1.610047812,soils re-processed and analyzed in July 2019,
2001,SF,3,5,1,D,100,419.20461,1501.533431,0.0088,0.0142,1.352272936,soils re-processed and analyzed in July 2019,
